8:00 AM|9:00 AM|Registration||
9:00 AM|9:15 AM|Welcome by MIT Bitcoin Expo Director and Expo Committee Members|Manasi Vora|
9:15 AM|9:45 AM|"Schnorr, MuSig, Thresholds and More for Bitcoin: A History"|Andrew Poelstra|
9:45 AM|10:15 AM|Utreexo: Reducing Bitcoin Nodes to 1 Kilobyte|Tadge Dryja|
10:15 AM|10:50 AM|Blockchain Attack Vectors and Ecosystem Security|Cory Fields + Carl Dong + James Lovejoy|Sharon Goldberg
10:50 AM|11:00 AM|Break||
11:00 AM|11:25 AM|Wasabi Wallet: Unfairly Private|David Molnar|
11:25 AM|11:50 AM|10 years of Bitcoin: Evaluating its Performance as a Monetary System|Nic Carter|
11:50 AM|12:30 PM|Decentralized Exchanges: Self-Custodying Your Assets|Steve Jain + Ryan Fox + Ethan Fast|Leigh Cuen
12:30 PM|1:30 PM|Lunch||
1:30 PM|2:10 PM|Taming the Wild West: Effectively Regulating the Blockchain Space|Gary Gensler + Hester Peirce|
2:10 PM|2:35 PM|Non-Atomic Swaps|James Prestwich|
2:35 PM|3:00 PM|Zcash Governance: The Road Toward 2-of-2 Multisig|Josh Cincinnati|
3:00 PM|3:10 PM|Break||
3:10 PM|3:35 PM|The Cosmos Launch: Defining an MVP for a Next Generation Blockchain|Zaki Manian|
4:00 PM|4:35 PM|Let's Talk About CEX: Centralized Trading Platforms|Jed Breed + Allan Stevo|Parker Hao
4:35 PM|4:45 PM|Break||
4:45 PM|5:15 PM|Livestream from 34-101||
