8:00 AM|9:00 AM|Registration||
9:00 AM|9:15 AM|Welcome by MIT Bitcoin Expo Director and Expo Committee Members||
9:15 AM|9:45 AM|Schnorr, MuSig, Thresholds and More for Bitcoin: A History|Andrew Poelstra|
9:45 AM|10:15 AM|Utreexo: Reducing Bitcoin Nodes to 1 Kilobyte|Tadge Dryja|
10:15 AM|10:50 AM|Evaluating Blockchain Security: A Panel Discussion|Mark Nesbitt + Cory Fields + Carl Dong|Sharon Goldberg
10:50 AM|11:00 AM|Break||
11:00 AM|11:25 AM|Wasabi Wallet: Unfairly Private|David Molnar|
11:25 AM|11:50 AM|10 years of Bitcoin: Evaluating its Performance as a Monetary System|Nic Carter|
11:50 AM|12:30 PM|Decentralized Exchanges: Self-Custodying Your Assets|Steve Jain + Ryan Fox + Ethan Fast|Leigh Cuen
12:30 PM|1:30 PM|Lunch||
1:30 PM|2:10 PM|Taming the Wild West: Effectively Regulating the Blockchain Space|Gary Gensler + Hester Peirce|Taming the Wild West: Effectively Regulating the Blockchain Space
2:10 PM|2:35 PM|Non-Atomic Swaps|James Prestwich|
2:35 PM|3:00 PM|ZCash Governance: The Road Toward 2-of-2 Multisig|Josh Cincinnati|
3:00 PM|3:10 PM|Break||
3:10 PM|3:35 PM|Zero Knowledge Proofs and Smart Contracts with Bulletproofs|Cathie Yun|
3:35 PM|4:00 PM|Arwen: Non-Custodial Solutions for Centralized Exchanges|Sharon Goldberg|
4:00 PM|4:35 PM|Centralized Exchanges|TBD|Frank Chaparro
4:35 PM|4:45 PM|Break||
4:45 PM|5:30 PM|Livestream from 34-101||
