8:00 AM|9:00 AM|Registration||
9:00 AM|9:15 AM|Welcome by MIT Bitcoin Expo Director and Expo Committee Members||
9:15 AM|9:27 AM|The Technology for the Borderless Economy|Naveed Ihsanullah|
9:27 AM|9:39 AM|Blockchain Education Network: Teaching the Next Generation|Erick Pinos|
9:39 AM|9:51 AM|Inflation Security in ZCash|Paige Peterson|
9:51 AM|10:03 AM|Lelantus: Improving on Zerocoin|Matt Koskinen|
10:03 AM|10:15 AM|Cryptocurrency Investment Preferences|Arjun Balaji|
10:15 AM|10:50 AM|UX/On-boarding|Justin Moon + Pierre Rochard + Jack Mallers|Marcin Jachymiak
10:50 AM|11:00 AM|Break||
11:00 AM|11:25 AM|Plasma Cash: Towards improved Plasma constructions|Georgios Konstantopoulos|
11:25 AM|11:50 AM|Counterfactual: A Framework for Generalized State Channels|Nima Vaziri|
11:50 AM|12:30 PM|Lightning Network Panel|Fabrice Drouin + Christian Decker + Tadge Dryja|
12:30 PM|1:30 PM|Lunch||
1:30 PM|2:10 PM|Livestream from 10-250||
2:10 PM|2:35 PM|Bitcoin and the 4th Wave of Computing|Jeremy Welch|
2:35 PM|3:00 PM|Incentivizing Mesh Networks with Layer 2 Micropayments|Richard Myers|
3:00 PM|3:10 PM|Break||
3:10 PM|3:30 PM|Handshake: An Experimental, Peer-to-Peer Root DNS|Boyma Fahnbulleh|
3:30 PM|3:50 PM|Security Analysis of PoW Consensus Protocols|Lucianna Kiffer|
3:50 PM|4:10 PM|Abra's Crypto Collateralized Contract Technology|Bill Barhydt|
4:10 PM|4:45 PM|Venture Capital and Investment|Niraj Pant + Meltem Demirors + Ash Egan|Amanda Fabiano
4:45 PM|5:30 PM|TBD|Amber Baldet|
